"","district","dem_share","dem_win_pct"
"205","MI 07",44.3533594129405,10.3333333333333
"206","MI 08",46.2288720548731,20.1433333333333
"207","MI 09",55.602154520739,81.3166666666667
"208","MI 10",33.5019090481408,0.00333333333333333
"209","MI 11",49.4867467468345,46.7233333333333
"210","MI 12",71.6091193518093,100
"211","MI 13",81.4817505360679,100
"212","MI 14",87.1512861805122,100
"213","MN 01",43.9801248699164,17.2266666666667
"214","MN 02",50.4782818292824,54.0766666666667
"215","MN 03",51.4155264044716,62.6666666666667
"216","MN 04",69.1213061834652,99.9966666666667
"217","MN 05",80.1131640282222,100
"218","MN 06",37.0925864421055,0.216666666666667
"219","MN 07",47.3459144216279,27.6633333333333
"220","MN 08",49.7416792297398,47.85
"221","MO 01",85.7435250681994,100
"222","MO 02",44.0319607889154,9.30333333333333
"223","MO 03",30.8480934745728,0
"224","MO 04",31.4510078366618,0
"225","MO 05",63.1824849926572,99.7766666666667
"226","MO 06",32.8037699547493,0.01
"227","MO 07",29.0296395275484,0
"228","MO 08",23.679290495167,0
"229","MS 01",32.3007278556717,0.00333333333333333
"230","MS 02",72.2960384301004,100
"231","MS 03",39.8583039167016,5.94
"232","MS 04",31.0127487580446,0
"233","MT 00",43.1439877114981,6.31
"234","NC 01",74.8872639041447,100
"235","NC 02",46.9402101284676,24.4733333333333
"236","NC 03",36.8996558404884,0.22
"237","NC 04",74.4520076879813,100
"238","NC 05",43.9036174486717,8.33
"239","NC 06",44.1237335204742,9.40333333333333
"240","NC 07",42.3328191658921,4.00333333333333
"241","NC 08",44.3172023821927,10.22
"242","NC 09",46.0701066134105,26.96
"243","NC 10",39.2998597704326,0.843333333333333
"244","NC 11",37.5743484816168,0.28
"245","NC 12",73.6412395989926,100
"246","NC 13",45.3233838153669,14.45
"247","ND 00",32.84612804732,0.406666666666667
"248","NE 01",35.8374635821043,0.1
"249","NE 02",50.181543084077,51.62
"250","NE 03",NA,0
"251","NH 01",50.9231384366171,55.96
"252","NH 02",55.4594956334448,89.2266666666667
"253","NJ 01",66.6909720215457,99.9966666666667
"254","NJ 02",49.4275791029845,46.2733333333333
"255","NJ 03",45.2355794372151,14.3466666666667
"256","NJ 04",40.1091899609419,1.23333333333333
"257","NJ 05",56.2738247129738,92.28
"258","NJ 06",65.8254088287519,99.97
"259","NJ 07",50.0828929839351,50.7333333333333
"260","NJ 08",85.4742947093249,100
"261","NJ 09",74.1774735292676,100
"262","NJ 10",94.15936726197,100
"263","NJ 11",51.2865273842044,57.92
"264","NJ 12",71.3684284296222,100
"265","NM 01",60.7452808257913,95.47
"266","NM 02",46.3532430236411,29.0233333333333
"267","NM 03",65.2258021827554,99.96
"268","NV 01",71.9859161187884,100
"269","NV 02",43.2740487407706,6.89666666666667
"270","NV 03",51.1904867277279,57.74
"271","NV 04",54.1908179992414,74.3466666666667
"272","NY 01",44.8283574130058,12.3833333333333
"273","NY 02",43.4638233661638,7.07
"274","NY 03",58.4315958422703,96.98
"275","NY 04",61.6260271030267,99.5566666666667
"276","NY 05",93.6797553514879,100
"277","NY 06",75.5084494858153,100
"278","NY 07",97.1595434850254,100
"279","NY 08",NA,100
"280","NY 09",NA,100
"281","NY 10",84.8471147574046,100
"282","NY 11",42.7175533247749,5.36333333333333
"283","NY 12",90.790507005728,100
"284","NY 13",100,100
"285","NY 14",79.9269033465287,100
"286","NY 15",100,100
"287","NY 16",NA,100
"288","NY 17",NA,100
"289","NY 18",56.222054012446,91.8433333333333
"290","NY 19",46.7988910810126,23.5866666666667
"291","NY 20",67.8165876074514,99.9933333333333
"292","NY 21",37.8698208226681,0.333333333333333
"293","NY 22",45.2236547669914,14.23
"294","NY 23",44.729282800186,11.7733333333333
"295","NY 24",47.3633110391155,27.8033333333333
"296","NY 25",59.9627394039594,94.23
"297","NY 26",73.5151909018448,100
"298","NY 27",36.3135625278068,0.116666666666667
"299","OH 01",45.8045009971686,17.62
"300","OH 02",39.0959989933927,0.813333333333333
"301","OH 03",74.1902665361356,100
"302","OH 04",33.9014796801831,0.05
"303","OH 05",34.0711535330111,0.0166666666666667
"304","OH 06",30.2145754722572,0
"305","OH 07",34.3101736915344,0.0266666666666667
"306","OH 08",31.2434303387105,0.00333333333333333
"307","OH 09",70.4309581486617,100
"308","OH 10",41.2455140898553,2.45333333333333
"309","OH 11",87.3883088515983,100
"310","OH 12",46.0703634722939,27.0366666666667
"311","OH 13",66.0554954102155,99.97
"312","OH 14",42.6608542134748,5.4
"313","OH 15",39.5201351736107,0.946666666666667
"314","OH 16",43.4314247432028,15.4566666666667
"315","OK 01",NA,0
"316","OK 02",25.4581328333817,0
"317","OK 03",22.7651991791188,0
"318","OK 04",29.9240289476656,0
"319","OK 05",43.2855202919952,6.73
"320","OR 01",66.3670095851159,99.99
"321","OR 02",34.521671688703,0.03
"322","OR 03",NA,100
"323","OR 04",58.6442204586003,97.55
"324","OR 05",57.8406292601607,95.97
"325","PA 01",52.5764357820794,65.3066666666667
"326","PA 02",75.8386896258929,100
"327","PA 03",92.7818230243531,100
"328","PA 04",60.5694235350951,94.8533333333333
"329","PA 05",66.1130493917295,99.3966666666667
"330","PA 06",55.7866270548861,81.5233333333333
"331","PA 07",52.7015509269351,66.3633333333333
"332","PA 08",46.7841156427845,30.7233333333333
"333","PA 09",36.1823374883908,1.60666666666667
"334","PA 10",45.7993764539961,25.7033333333333
"335","PA 11",39.7902412284322,5.44333333333333
"336","PA 12",32.9980826715583,0.436666666666667
"337","PA 13",28.0229146691798,0.0433333333333333
"338","PA 14",39.2504445068051,4.69333333333333
"339","PA 15",30.7585381711029,0.103333333333333
"340","PA 16",41.6502243948462,9.57
"341","PA 17",49.0576163301872,44.2733333333333
"342","PA 18",65.3876617710205,99.1766666666667
"343","RI 01",68.8829721062238,100
"344","RI 02",64.8463803271344,99.9666666666667
"345","SC 01",45.1480329893311,22.9366666666667
"346","SC 02",41.1434957752944,2.29333333333333
"347","SC 03",29.8828862306192,0
"348","SC 04",38.8117240868407,3.83
"349","SC 05",42.4491413887991,4.81666666666667
"350","SC 06",75.8016991136398,100
"351","SC 07",42.2078625412323,4.11
"352","SD 00",36.5578754874262,1.91333333333333
"353","TN 01",18.6703557957523,0
"354","TN 02",33.9798049521188,0.703333333333333
"355","TN 03",32.5234697180405,0.0133333333333333
"356","TN 04",34.0912295445273,0.0333333333333333
"357","TN 05",65.7594787690834,99.9866666666667
"358","TN 06",27.5892510220875,0.0333333333333333
"359","TN 07",32.1828693795681,0.236666666666667
"360","TN 08",28.3151502830485,0
"361","TN 09",86.4330243431259,100
"362","TX 01",26.3365157647365,0
"363","TX 02",47.0827367385093,32.8433333333333
"364","TX 03",44.6775266528563,20.24
"365","TX 04",NA,0
"366","TX 05",NA,0
"367","TX 06",45.6459192137851,24.6333333333333
"368","TX 07",49.8537228054218,48.59
"369","TX 08",NA,0
"370","TX 09",87.1856621296298,100
"371","TX 10",44.9803869233467,13.0733333333333
"372","TX 11",NA,0
"373","TX 12",32.2298314304393,0.00333333333333333
"374","TX 13",NA,0
"375","TX 14",41.243150764194,2.39
"376","TX 15",65.9092589585824,99.98
"377","TX 16",NA,100
"378","TX 17",40.7998533151506,2.01666666666667
"379","TX 18",83.0703944008387,100
"380","TX 19",NA,0
"381","TX 20",NA,100
"382","TX 21",46.6894778418722,30.1966666666667
"383","TX 22",45.5577572548704,16.0866666666667
"384","TX 23",53.6812755636349,79.5433333333333
"385","TX 24",46.3361862067249,20.7733333333333
"386","TX 25",43.0499745560549,5.78666666666667
"387","TX 26",35.0048066638573,0.04
"388","TX 27",40.446774567864,1.6
"389","TX 28",69.3833982396738,100
"390","TX 29",74.2372980135605,99.9866666666667
"391","TX 30",86.9168300269667,100
"392","TX 31",43.0496598898773,5.91666666666667
"393","TX 32",NA,0
"394","TX 33",80.0792170120584,100
"395","TX 34",66.5392561443923,99.9966666666667
"396","TX 35",72.0587928272604,99.9966666666667
"397","TX 36",NA,0
"398","UT 01",31.7065129027709,0
"399","UT 02",40.2651877786447,1.46
"400","UT 03",30.9498366700771,0.00333333333333333
"401","UT 04",47.3779545233618,27.9333333333333
"402","VA 01",42.2322462936319,4.32666666666667
"403","VA 02",43.188994875569,6.15333333333333
"404","VA 03",71.685090106206,100
"405","VA 04",65.2366450984475,99.9633333333333
"406","VA 05",46.1885181955896,27.6666666666667
"407","VA 06",39.2505126245204,4.50333333333333
"408","VA 07",46.8753856574744,24.3366666666667
"409","VA 08",79.7878808291935,100
"410","VA 09",30.443202316929,0.00333333333333333
"411","VA 10",54.0296042403531,81.6933333333333
"412","VA 11",NA,100
"413","VT 00",NA,100
"414","WA 01",60.9867915422146,99.2766666666667
"415","WA 02",67.784207186557,100
"416","WA 03",44.3989380843398,10.49
"417","WA 04",NA,0
"418","WA 05",44.1358606789204,9.34333333333333
"419","WA 06",63.8988216548658,99.8966666666667
"420","WA 07",NA,100
"421","WA 08",53.2330865600913,69.4666666666667
"422","WA 09",79.4916058954659,100
"423","WA 10",61.795827222063,99.54
"424","WI 01",46.600995642913,29.9933333333333
"425","WI 02",74.1245991682519,100
"426","WI 03",NA,100
"427","WI 04",NA,100
"428","WI 05",36.2689030218633,0.0966666666666667
"429","WI 06",42.6813685950655,4.86
"430","WI 07",41.0256707325488,2.23
"431","WI 08",39.1037263436564,0.763333333333333
"432","WV 01",31.3334590938489,0
"433","WV 02",39.4810998720111,0.963333333333333
"434","WV 03",27.3250751335505,0.0133333333333333
"435","WY 00",28.6363310298148,0
