"","district","dem_share","dem_win_pct"
"142","MI 04",37.8445673131057,0.3025
"143","MI 05",63.3509234378425,99.825
"144","MI 06",44.3946269318051,10.385
"145","MI 07",44.7171007897255,12.005
"146","MI 08",46.6197963874868,22.4175
"147","MI 10",33.8738051106589,0.0175
"148","MI 12",71.9916721748237,100
"149","MI 14",87.5389986673557,100
"150","MN 02",50.8565872375727,57.49
"151","MN 03",51.7886251765317,65.7525
"152","MN 04",69.4530940992433,100
"153","MN 06",37.4924447900575,0.25
"154","MN 07",47.7388215594268,30.3625
"155","MN 08",50.1292101533103,51.105
"156","MO 01",86.0931378969937,100
"157","MO 02",44.4460107310885,10.23
"158","MO 03",31.2180208203322,0.0025
"159","MO 04",31.8670704650566,0
"160","MO 05",63.5666269497389,99.8725
"161","MO 06",33.1738238847932,0.01
"162","MO 07",29.4152430381383,0
"163","MO 08",24.0462788886857,0
"164","MS 01",32.6680638339526,0.0025
"165","MS 02",72.6914317309193,100
"166","MS 04",31.3834957681146,0.0025
"167","MT 00",43.5399720774474,7.44
"168","NC 01",75.2809164050347,100
"169","NC 02",47.3182564553046,27.4075
"170","NC 03",37.2575717110395,0.1975
"171","NC 04",74.8165864480034,100
"172","NC 05",44.2804128430586,9.875
"173","NC 06",44.471407682466,10.63
"174","NC 07",42.7108128539204,5.085
"175","NC 08",44.6932786268382,11.8325
"176","NC 10",39.6751627200493,0.9925
"177","NC 11",37.9466405791456,0.405
"178","NC 12",74.0365546845817,100
"179","NC 13",45.7151377813075,17.2475
"180","NE 01",36.1962720923401,0.1425
"181","NE 02",50.5565892174925,55.085
"182","NH 02",55.8149975645361,90.415
"183","NJ 01",67.0887820429326,99.9975
"184","NJ 03",45.6023260510743,15.99
"185","NJ 04",40.4926101348456,1.6025
"186","NJ 05",56.6167685625555,93.2025
"187","NJ 06",66.2220033350728,99.985
"188","NJ 07",50.4327417391598,53.88
"189","NJ 08",85.8489363742365,100
"190","NJ 09",74.5498394566678,100
"191","NJ 10",94.5478124658029,100
"192","NJ 12",71.721047265331,100
"193","NM 03",65.5964538513913,99.9775
"194","NV 01",72.3699971894966,100
"195","NV 02",43.6483328603754,7.655
"196","NY 01",45.2173681335861,14.3575
"197","NY 02",43.8165412810239,8.3975
"198","NY 03",58.796768899804,97.6075
"199","NY 04",61.9764891632199,99.5925
"200","NY 05",94.0525562698978,100
"201","NY 06",75.9172500930069,100
"202","NY 07",97.515944732576,100
"203","NY 10",85.2245308358603,100
"204","NY 11",43.1364602286582,6.1175
"205","NY 12",91.1884594637058,100
"206","NY 13",100,100
"207","NY 15",100,100
"208","NY 18",56.6289762615976,93.365
"209","NY 19",47.1621542648822,26.07
"210","NY 20",68.1524869590959,99.995
"211","NY 21",38.2363281323445,0.455
"212","NY 22",45.603873698985,16.3325
"213","NY 23",45.0816003200181,13.4725
"214","NY 24",47.7701999597489,30.9075
"215","NY 26",73.898487542105,100
"216","NY 27",36.7133894019724,0.1625
"217","OH 01",46.1861376616987,19.5725
"218","OH 02",39.4670644549488,0.8725
"219","OH 03",74.5593881053208,100
"220","OH 04",34.2607799644508,0.015
