district,dem16share,incumbent16,pres16share,incumbent18,concede
LA 01,-29.27736451,-1,-22.01257862,-1,0
LA 03,-32.09562564,0,-19.74093264,-1,0
LA 04,-21.2244898,0,-12.34567901,-1,0
LA 06,-25.28438469,-1,-17.64091858,-1,0
MA 03,18.7,1,12.17948718,0,0
MA 04,20,1,12.84501062,1,0
MA 08,22.4,1,13.71308017,1,0
MA 09,12.23463687,1,5.673382821,1,0
MD 01,-20.77244259,-1,-14.98951782,-1,0
MD 02,15.13089005,1,12.7348643,1,0
MD 03,14.54265159,1,16.03575184,1,0
MD 04,27.42946708,0,29.66976264,1,0
MD 05,19.3814433,1,16.63201663,1,0
MD 06,7.528556594,1,7.905759162,0,0
MD 07,27.42268041,1,28.95833333,1,0
MD 08,12.48682824,0,17.9916318,1,0
ME 01,7.9,1,7.922912206,1,0
ME 02,-4.9,-1,-5.567567568,-1,0
MI 01,-8.210526316,0,-11.26984127,-1,0
MI 02,-15.93059937,-1,-9.361702128,-1,0
MI 03,-11.3003096,-1,-5.010660981,-1,0
MI 04,-15.74172892,-1,-13.16348195,-1,0
MI 05,13.55140187,1,2.205882353,1,0
MI 06,-11.68421053,-1,-4.458598726,-1,0
MI 07,-7.833859096,-1,-9.004237288,-1,0
MI 08,-8.823529412,-1,-3.544973545,-1,0
MI 09,10.75550892,1,4.096638655,0,0
MI 10,-16.10703043,0,-16.87631027,-1,0
MI 11,-6.820622986,-1,-2.315789474,0,0
MI 12,18.8034188,1,13.79853095,1,0
MI 13,32.97413793,1,31.32094943,0,0
MI 14,30.76131687,1,31.23076923,1,0
MN 01,0.4,1,-8.12431843,0,0
MN 02,-0.976138829,0,-0.653594771,-1,0
MN 03,-6.9,-1,5.097613883,-1,0
MN 04,12.62188516,1,16.7752443,1,0
MN 05,25.6284153,1,29.93492408,0,0
MN 06,-15.7,-1,-13.95222584,-1,0
MN 07,2.5,1,-16.59482759,1,0
MN 08,0.3,1,-8.405172414,1,0
MO 01,29.05759162,1,30.37578288,1,0
MO 02,-10.91476091,-1,-5.426765016,-1,0
MO 03,-20.84639498,-1,-20.48319328,-1,0
MO 04,-20.92050209,-1,-19.02748414,-1,0
MO 05,10.26831785,1,7.127771911,1,0
MO 06,-20.64315353,-1,-16.56118143,-1,0
MO 07,-21.15789474,-1,-24.02733964,-1,0
MO 08,-26.62203913,-1,-28.21576763,-1,0
MS 01,-21.22153209,-1,-16.87116564,-1,0
MS 02,19.43866944,1,14.43768997,1,0
MS 03,-18.63354037,-1,-12.4872579,0,0
MS 04,-20.18299247,-1,-21.10655738,-1,0
MT 00,-8.161157025,-1,-11.14718615,-1,0
NC 01,20.28688525,1,18.87755102,1,0
NC 02,-6.7,-1,-4.958677686,-1,0
NC 03,-17.4,-1,-12.11498973,-1,0
NC 04,18.2,1,20.74688797,1,0
NC 05,-8.5,-1,-9.053497942,-1,0
NC 06,-9.3,-1,-7.538461538,-1,0
NC 07,-11,-1,-9.076923077,-1,0
NC 08,-8.8,-1,-7.716049383,-1,0
NC 09,-8.3,-1,-5.967078189,0,0
NC 10,-13.2,-1,-12.62833676,-1,0
NC 11,-14.2,-1,-15.02057613,-1,0
NC 12,17,1,20.66115702,1,0
NC 13,-6.1,0,-4.825462012,-1,0
ND 00,-24.40860215,-1,-19.82570806,0,0
NE 01,-19.6,-1,-11.3660619,-1,0
NE 02,-1.085832472,1,-1.167728238,-1,0
NH 01,0.746268657,-1,-0.843881857,0,0
NH 02,2.31092437,1,1.265822785,1,0
NJ 01,11.84074457,1,12.6680455,1,0
NJ 02,-11.55440415,-1,-2.380952381,0,0
NJ 03,-10.65239551,-1,-3.209109731,-1,0
NJ 04,-15.53497942,-1,-7.644628099,-1,0
NJ 05,1.688843398,-1,-0.569948187,1,0
NJ 06,13.82978723,1,8.05785124,1,0
NJ 07,-5.761316872,-1,0.572320499,-1,0
NJ 08,30.52356021,1,27.88065844,1,0
NJ 09,21.23848516,1,16.0164271,1,0
NJ 10,37.70491803,1,36.93877551,1,0
NJ 11,-10.0619195,-1,-0.465356774,0,0
NJ 12,15.96417281,1,17.14876033,1,0
NM 01,15.1,1,9.515570934,0,0
NM 02,-12.8,-1,-5.666666667,0,0
NM 03,12.5,1,8.531073446,1,0
NV 01,18.21192053,1,15.39278132,1,0
NV 02,-11.2394958,-1,-6.706652126,-1,0
NV 03,0.643776824,0,-0.531914894,0,0
NV 04,2.150537634,-1,2.603613177,0,0
NY 01,-9,-1,-6.359875905,-1,0
NY 02,-12.4,-1,-4.695562436,-1,0
NY 03,2.4,0,3.141091658,1,0
NY 04,9.4,1,4.938271605,1,0
NY 05,36.80203046,1,37.09349593,1,0
NY 06,22.69969666,1,16.97530864,1,0
NY 07,40.7,1,39.31140802,1,0
NY 10,27.5,1,30.63851699,1,0
NY 11,-13.27568667,-1,-5.030800821,-1,0
NY 12,33,1,36.05371901,1,0
NY 13,42.78996865,0,44.47287615,1,0
NY 14,32.6,1,29.69230769,0,0
NY 15,46.3562753,1,45.03546099,1,0
NY 18,5.2,1,-0.98855359,1,0
NY 19,-4.7,0,-3.58649789,-1,0
NY 20,17.6,1,7.142857143,1,0
NY 21,-19.28721174,-1,-7.401490948,-1,0
NY 22,-3.775743707,0,-8.235919235,-1,0
NY 23,-8.1,-1,-7.855626327,-1,0
NY 24,-11,-1,1.910828025,-1,0
NY 25,5.8,1,8.66807611,0,0
NY 26,24.4,1,10.25104603,1,0
NY 27,-17.7,-1,-12.90832455,-1,0
OH 01,-9.6,-1,-3.444676409,-1,0
OH 02,-16.6,-1,-8.429319372,-1,0
OH 03,18.3,1,20.08368201,1,0
OH 04,-18.1,-1,-17.68421053,-1,0
OH 05,-21,-1,-13.30858961,-1,0
OH 06,-20.6,-1,-22.1875,-1,0
OH 07,-18.92473118,-1,-15.58237146,-1,0
OH 08,-22.02505219,-1,-18.02507837,-1,0
OH 09,18.5,1,11.65966387,1,0
OH 10,-16.52892562,-1,-3.830010493,-1,0
OH 11,30.1,1,32.56410256,1,0
OH 12,-19.01554404,-1,-5.941114616,0,0
OH 13,17.6,1,3.396029258,1,0
OH 14,-12.7,-1,-6.008359457,-1,0
OH 15,-16.2,-1,-8.088235294,-1,0
OH 16,-15.4,-1,-8.682008368,0,0
OK 02,-25.26652452,-1,-26.17554859,-1,0
OK 03,-28.3,-1,-27.88359788,-1,0
OK 04,-22.72727273,-1,-19.89361702,-1,0
OK 05,-10.80937167,-1,-7.204301075,-1,0
OR 01,11.50670795,1,12.41830065,1,0
OR 02,-22.1,-1,-10.81808396,-1,0
OR 04,8.237145855,1,0.054288817,1,0
OR 05,5.371900826,1,2.272727273,1,0
PA 01,32.2,1,31.37154555,0,0
PA 02,40.2,0,42.24489796,0,0
PA 03,0,0,0,0,0
PA 04,-16.1,-1,-11.23301985,0,0
PA 05,-17.3,-1,-15.03131524,0,0
PA 06,-7.3,-1,0.313152401,0,0
PA 07,-9.7,-1,1.194184839,0,0
PA 08,-4.5,0,-0.103950104,0,0
PA 09,-13.4,-1,-21.92982456,0,0
PA 10,-20.3,-1,-18.71101871,0,0
PA 11,-13.7,-1,-12.37006237,0,0
PA 12,-11.9,-1,-10.76604555,0,0
PA 13,0,0,0,0,0
PA 14,24.3,1,18.39378238,0,0
PA 15,-10.58091286,-1,-3.958333333,0,0
PA 16,-5.797101449,0,-3.571428571,0,0
PA 17,3.8,1,-5.222337125,0,0
PA 18,0,0,0,0,0
RI 01,14.7,1,13.41719078,1,0
RI 02,15.39325843,1,3.732912723,1,0
SC 01,-11.36125654,-1,-6.975505857,0,0
SC 02,-12.68191268,-1,-9.325605901,-1,0
SC 03,-22.9,-1,-19.79166667,-1,0
SC 04,-18.36215666,-1,-13.56916579,0,0
SC 05,-10.36772217,-1,-9.625390219,-1,0
SC 06,21.7791411,1,18.79505664,1,0
SC 07,-10.7,-1,-9.732234809,-1,0
SD 00,-14.1,-1,-15.98712446,0,0
TN 01,-33.58208955,-1,-29.56431535,-1,0
TN 02,-25.6,-1,-18.67088608,0,0
TN 03,-19.74789916,-1,-18.41004184,-1,0
TN 04,-15,-1,-21.45833333,-1,0
TN 05,12.5,1,9.70464135,1,0
TN 06,-26.53390743,-1,-25.3894081,0,0
TN 07,-25.44409613,-1,-20.53291536,0,0
TN 08,-23.26943557,0,-18.35051546,-1,0
TN 09,30.73770492,1,29.65056526,1,0
TX 01,-25.40816327,-1,-24.05128205,-1,0
TX 02,-12.73291925,-1,-4.869109948,0,0
TX 03,-13.9874739,-1,-7.442348008,0,0
TX 06,-9.917780062,-1,-6.399583767,0,0
TX 07,-6.2,-1,0.732217573,-1,0
TX 09,30.6,1,31.50051387,1,0
TX 10,-9.916492693,-1,-4.764397906,-1,0
TX 12,-22.14137214,-1,-15.79497908,-1,0
TX 14,-11.9,-1,-10.2484472,-1,0
TX 15,10.31578947,0,8.634953464,1,0
TX 17,-13.33333333,-1,-9.20084122,-1,0
TX 18,25.69515963,1,29.2746114,1,0
TX 21,-11.02783726,-1,-5.263157895,0,0
TX 22,-9.5,-1,-4.101765317,-1,0
TX 23,-0.891920252,-1,1.767151767,-1,0
TX 24,-8.848167539,-1,-3.256302521,-1,0
TX 25,-10.77003122,-1,-7.817418678,-1,0
TX 26,-19.13451512,-1,-13.90346275,-1,0
TX 27,-11.7,-1,-12.21532091,-1,0
TX 28,17.8974359,1,10.22727273,1,0
TX 29,25.12953368,1,23.67875648,0,0
TX 30,30.39215686,1,31.21149897,1,0
TX 31,-11.53846154,-1,-6.733828208,-1,0
TX 33,23.7,1,25.46583851,1,0
TX 34,12.7,1,11.09391125,1,0
TX 35,16.63146779,1,17.7589852,1,0
UT 01,-20.62634989,-1,-18.93203883,-1,0
UT 02,-14.33054393,-1,-8.974358974,-1,0
UT 03,-23.3,-1,-16.95035461,-1,0
UT 04,-6.197478992,-1,-4.685314685,-1,0
VA 01,-12.97828335,-1,-6.540084388,-1,0
VA 02,-11.7,0,-1.804670913,-1,0
VA 03,16.9,1,16.59685864,1,0
VA 04,7.3,0,11.27348643,1,0
VA 05,-8.3,0,-5.799373041,0,0
VA 06,-16.7,-1,-13.10782241,0,0
VA 07,-7.9,-1,-3.439153439,-1,0
VA 08,21.45833333,1,27.86016949,1,0
VA 09,-20.75180227,-1,-21.59209157,-1,0
VA 10,-2.9,-1,5.296610169,-1,0
WA 01,5.5,1,8.868335147,1,0
WA 02,14,1,12.05016358,1,0
WA 03,-11.4,-1,-4.004329004,-1,0
WA 05,-9.5,-1,-7.17415115,-1,0
WA 06,11.7,1,6.736035049,1,0
WA 08,-10,-1,1.623376623,0,0
WA 09,23,1,25.15991471,1,0
WA 10,8.7,1,6.25,1,0
WI 01,-18.27731092,-1,-5.426765016,0,0
WI 02,18.7,1,19.4092827,1,0
WI 05,-19.51092612,-1,-10.6124604,-1,0
WI 06,-10.52910053,-1,-8.941798942,-1,0
WI 07,-11.8,-1,-10.77812829,-1,0
WI 08,-12.7,0,-9.282700422,-1,0
WV 01,-19,-1,-22.03389831,-1,0
WV 02,-8.2,-1,-19.11764706,-1,0
WV 03,-23.88465724,-1,-25.67849687,0,0
WY 00,-17.38894908,0,-25.70194384,-1,0
AL 01,0,0,0,0,-1
AL 04,0,0,0,0,-1
AR 01,0,0,0,0,-1
AR 03,0,0,0,0,-1
AR 04,0,0,0,0,-1
AZ 08,0,0,0,0,-1
GA 01,0,0,0,0,-1
GA 09,0,0,0,0,-1
GA 10,0,0,0,0,-1
GA 14,0,0,0,0,-1
IL 15,0,0,0,0,-1
IL 16,0,0,0,0,-1
KS 01,0,0,0,0,-1
KY 02,0,0,0,0,-1
KY 05,0,0,0,0,-1
LA 05,0,0,0,0,-1
NE 03,0,0,0,0,-1
OK 01,0,0,0,0,-1
TX 04,0,0,0,0,-1
TX 05,0,0,0,0,-1
TX 08,0,0,0,0,-1
TX 11,0,0,0,0,-1
TX 13,0,0,0,0,-1
TX 19,0,0,0,0,-1
TX 32,0,0,0,0,-1
TX 36,0,0,0,0,-1
WA 04,0,0,0,0,-1
AL 07,0,0,0,0,1
AZ 03,0,0,0,0,1
